Swiss Stats Map Explorer; ; 
Geografisches Bezugssystem: Politische Gemeinden 01.01.2024; ; 
Identifikator;Bezeichnung;Bevölkerungsdichte (Gesamtfläche) 2024
3881;Conters im Prättigau;12.2
3882;Küblis;111.8
389;Meienried;87.7
3891;Luzein;20.1
39;Thalheim an der Thur;155.9
390;Meinisberg;331
3901;Chur;722.3
391;Oberwil bei Büren;134.1
3911;Churwalden;43.6
392;Pieterlen;624.7
3921;Arosa;20.4
393;Rüti bei Büren;133.8
3932;Tschiertschen-Praden;11.1
394;Wengi;89.4
3945;Trimmis;79.9
3946;Untervaz;96.5
3947;Zizers;335.2
3951;Fläsch;44.1
3952;Jenins;91.5
3953;Maienfeld;101
3954;Malans;221.8
3955;Landquart;490.1
3961;Grüsch;50.3
3962;Schiers;48.5
3972;Seewis im Prättigau;29.2
3981;Breil/Brigels;17.7
3982;Disentis/Mustér;23.1
3983;Medel (Lucmagn);2.4
3985;Sumvitg;10.4
3986;Tujetsch;9
3987;Trun;22
3988;Obersaxen Mundaun;16.5
4;Hausen am Albis;290.5
40;Trüllikon;115.5
4001;Aarau;1840.4
4002;Biberstein;404.1
4003;Buchs (AG);1596.1
4004;Densbüren;61.4
4005;Erlinsbach (AG);470.5
4006;Gränichen;504.5
4007;Hirschthal;499.4
4008;Küttigen;588
4009;Muhen;581.8
401;Aefligen;558.8
4010;Oberentfelden;1249.4
4012;Suhr;1093.9
4013;Unterentfelden;1579.9
402;Alchenstorf;96.5
4021;Baden;1620.4
4022;Bellikon;319.8
4023;Bergdietikon;504.5
4024;Birmenstorf (AG);393.1
4026;Ennetbaden;1755
4027;Fislisbach;1215.8
4028;Freienwil;275.7
4029;Gebenstorf;1027.8
403;Bäriswil;409.9
4030;Killwangen;948.1
4031;Künten;400
4032;Mägenwil;641.4
4033;Mellingen;1297.5
4034;Neuenhof;1712.3
4035;Niederrohrdorf;1409.9
4037;Oberrohrdorf;997
4038;Obersiggenthal;1072.5
4039;Remetschwil;540.2
404;Burgdorf;1111.3
4040;Spreitenbach;1463.6
4041;Stetten (AG);576.2
4044;Untersiggenthal;943.5
4045;Wettingen;2061.9
4046;Wohlenschwil;422.6
4047;Würenlingen;561.6
4048;Würenlos;767.6
4049;Ehrendingen;676
405;Ersigen;131.4
406;Hasle bei Burgdorf;155.4
4061;Arni (AG);589.6
4062;Berikon;929.4
4063;Bremgarten (AG);780.9
4064;Büttikon;414.9
4065;Dottikon;1097.2
4066;Eggenwil;428.9
4067;Fischbach-Göslikon;564.5
4068;Hägglingen;333.9
407;Heimiswil;69.7
4071;Jonen;411.8
4072;Niederwil (AG);491.5
4073;Oberlunkhofen;679.1
4074;Oberwil-Lieli;491
4075;Rudolfstetten-Friedlisberg;947.8
4076;Sarmenstorf;383.4
4077;Tägerig;470.2
4078;Uezwil;227
4079;Unterlunkhofen;375.9
408;Hellsau;143.9
4080;Villmergen;690.3
4081;Widen;1456.1
4082;Wohlen (AG);1427.6
4083;Zufikon;1020
4084;Islisberg;416.9
409;Hindelbank;288.3
4091;Auenstein;306.9
4092;Birr;959.8
4093;Birrhard;323
4095;Brugg;1639.9
4099;Habsburg;193.3
41;Truttikon;103.9
410;Höchstetten;95.8
4100;Hausen (AG);1179.4
4104;Lupfig;402.5
4105;Mandach;59.2
4106;Mönthal;99.7
4107;Mülligen;344.3
411;Kernenried;160.4
4110;Remigen;175.3
4111;Riniken;329.4
4112;Rüfenach;212.9
4117;Thalheim (AG);96.4
412;Kirchberg (BE);654.4
4120;Veltheim (AG);305.3
4121;Villigen;199
4122;Villnachern;296.5
4123;Windisch;1660.5
4124;Bözberg;109.4
4125;Schinznach;201.1
413;Koppigen;329.1
4131;Beinwil am See;973.6
4132;Birrwil;414.7
4134;Dürrenäsch;232.7
4135;Gontenschwil;226.8
4136;Holziken;616.4
4137;Leimbach (AG);472.2
4138;Leutwil;201.3
4139;Menziken;1184.7
414;Krauchthal;122.5
4140;Oberkulm;321.3
4141;Reinach (AG);1017.3
4142;Schlossrued;123.2
4143;Schmiedrued;134.1
4144;Schöftland;733.8
4145;Teufenthal (AG);505
4146;Unterkulm;428
4147;Zetzwil;238.1
415;Lyssach;245.3
4161;Eiken;355.4
4163;Frick;594.8
4164;Gansingen;128.6
4165;Gipf-Oberfrick;382.2
4169;Kaisten;162.9
4170;Laufenburg;266.6
4172;Münchwilen (AG);437.8
